Unix,Cyclical_Time,DayW,Mo,DayM,Avg_S1,Avg_S2,Avg_S3,Avg_S4,Avg_S5,Avg_S6,RH_Avg,OT
1433131200,0,1,5,1,27.75,28.4375,27.7708,28.75,27.9688,28.1562,51.03283333,22.111
1433132100,0,1,5,1,27.7604,28.3645,27.7187,28.75,27.8437,28.0312,50.69406667,22.111
1433133000,0,1,5,1,27.7396,28.3125,27.6458,28.625,27.8021,27.9584,50.22001667,22.111
1433133900,0,1,5,1,27.625,28.2917,27.6354,28.5104,27.8021,27.8646,50.32451667,22.111
1433134800,0,1,5,1,27.5729,28.1042,27.5625,28.5521,27.6875,27.7812,51.57638333,22.111
1433135700,0,1,5,1,27.5104,28.1146,27.4271,28.4896,27.6042,27.8229,52.55801667,22.111
1433136600,0,1,5,1,27.4896,28.0729,27.4583,28.4479,27.5417,27.7396,52.94676667,22.111
1433137500,0,1,5,1,27.4375,28.0208,27.3646,28.3646,27.5104,27.625,52.83148333,22.111
1433138400,0,1,5,1,27.4063,28.0625,27.5104,28.4375,27.6563,27.7083,52.74405,22.111
1433139300,0,1,5,1,27.6458,28.2604,27.6458,28.6354,27.8854,27.875,52.11276667,22.111
1433140200,0,1,5,1,27.7604,28.2604,27.7188,28.7605,27.9792,28.0417,51.48951667,22.111
1433141100,0,1,5,1,27.8542,28.3542,27.7292,28.7292,28.0729,28.0208,51.36205,22.111
1433142000,0,1,5,1,27.8542,28.2916,27.8333,28.7604,28.0938,28.0521,51.17396667,22.111
1433142900,0,1,5,1,27.7916,28.2708,27.7708,28.6979,28.0834,28.1146,50.98548333,22.111
1433143800,0,1,5,1,27.7604,28.3229,27.8229,28.6771,28.0521,27.9792,50.99135,22.111
1433144700,0,1,5,1,27.8333,28.2708,27.8229,28.7396,28,28.0416,50.66306667,22.111
1433145600,0,1,5,1,27.7396,28.1979,27.7813,28.6563,28.0417,27.9896,50.71023333,22.111
1433146500,0,1,5,1,27.7083,28.2396,27.7812,28.6875,28.0313,27.9896,50.4807,22.111
1433147400,0,1,5,1,27.7291,28.2292,27.7917,28.6771,28,27.9271,50.64468333,22.111
1433148300,0,1,5,1,27.7708,28.2188,27.7396,28.6458,27.9896,27.9583,50.5606,22.111
1433149200,0,1,5,1,27.7083,28.1667,27.7604,28.6771,27.9479,27.9479,50.32368333,22.111
1433150100,0,1,5,1,27.7083,28.1666,27.7187,28.5833,27.9896,27.9792,50.39663333,22.111
1433151000,0,1,5,1,27.6354,28.1771,27.6458,28.5521,27.9167,27.9063,50.09171667,22.111
1433151900,0,1,5,1,27.5625,28.0208,27.6146,28.4375,27.7708,27.8125,49.28871667,22.111
1433152800,0,1,5,1,27.4688,27.9687,27.5834,28.4271,27.6562,27.75,48.48463333,22.111
1433153700,0,1,5,1,27.5,27.9792,27.5,28.3646,27.6354,27.7084,47.62995,22.111
1433154600,0,1,5,1,27.4584,27.9271,27.4896,28.3542,27.625,27.6771,47.08221667,22.111
1433155500,0,1,5,1,27.4479,27.9479,27.3854,28.2917,27.5208,27.6354,46.76145,22.111
1433156400,0,1,5,1,27.4063,27.875,27.3542,28.2396,27.4687,27.5833,46.08851667,22.111
1433157300,0,1,5,1,27.2917,27.7604,27.3542,28.2084,27.5208,27.5417,45.77576667,22.111
1433158200,0,1,5,1,27.3541,27.8021,27.2812,28.2292,27.4583,27.5625,45.31636667,22.111
1433159100,0,1,5,1,27.2812,27.7708,27.2708,28.1563,27.4687,27.4688,44.84131667,22.111
1433160000,1,1,5,1,27.3021,27.7187,27.2396,28.1875,27.375,27.4792,44.47465,22.111
1433160900,1,1,5,1,27.2396,27.7083,27.2187,28.0729,27.1771,27.4166,44.69568333,22.111
1433161800,1,1,5,1,27.2292,27.6042,27.1979,28.1354,26.9479,27.3334,44.81606667,22.111
1433162700,1,1,5,1,27.1979,27.5625,27.1354,28.0625,26.4479,27.2396,45.28261667,22.111
1433163600,1,1,5,1,27.1458,27.5104,27.1875,28.0417,25.9687,27.1562,45.35353333,22.111
1433164500,1,1,5,1,27.0104,27.4167,26.9375,27.8542,24.9375,26.9375,48.20896667,22.111
1433165400,1,1,5,1,26.7604,27.1563,26.7709,27.6042,24.7083,26.7187,50.70458333,22.111
1433166300,1,1,5,1,26.6146,27.0417,26.7396,27.5208,24.9896,26.6458,51.79758333,22.111
1433167200,1,1,5,1,26.5313,26.9479,26.4896,27.4479,24.5833,26.4792,52.94216667,22.111
1433168100,1,1,5,1,26.3958,26.75,26.3542,27.3125,24.3125,26.3125,53.99641667,22.111
1433169000,1,1,5,1,26.2083,26.625,26.2708,27.1979,24.2084,26.1771,55.05888333,22.111
1433169900,1,1,5,1,26.1354,26.5,26.1458,27.0313,24.0625,25.9895,55.3639,22.111
1433170800,1,1,5,1,25.875,26.3958,25.875,26.9167,23.25,25.7709,56.21741667,22.111
1433171700,2,1,5,1,25.7708,26.2396,25.6875,26.8021,23.4583,25.5625,56.215,22.111
1433172600,2,1,5,1,25.6771,26.1354,25.5521,26.7188,23.5104,25.5417,55.8615,22
1433173500,2,1,5,1,25.6458,26.0937,25.4271,26.6875,23.2188,25.4271,56.0417,21.222
1433174400,2,1,5,1,25.6563,26.0625,25.4896,26.6771,23.5938,25.4791,55.54648333,20.722
1433175300,2,1,5,1,25.6459,26.1042,25.4271,26.625,23.6041,25.4687,55.3895,20.5
1433176200,2,1,5,1,25.5312,26.0417,25.375,26.5938,23.375,25.3437,55.50956667,20.222
1433177100,2,1,5,1,25.4896,26.0625,25.3854,26.5938,23.5417,25.2708,55.58673333,20.111
1433178000,2,1,5,1,25.5,26.0312,25.3542,26.5729,23.9792,25.3958,55.91038333,19.888
1433178900,2,1,5,1,25.5729,26.1562,25.4479,26.6458,24.3125,25.5313,55.90368333,19.5
1433179800,2,1,5,1,25.6354,26.1354,25.4792,26.6041,24.5104,25.4896,56.22368333,18.888
1433180700,2,1,5,1,25.6875,26.1354,25.6042,26.6666,24.8021,25.5104,56.46095,18.388
1433181600,2,1,5,1,25.7187,26.1979,25.5938,26.6979,24.8021,25.6354,56.5023,18
1433182500,2,1,5,1,25.8021,26.3437,25.6875,26.7813,24.4896,25.5833,56.65436667,17.777
1433183400,2,1,5,1,25.75,26.3542,25.6979,26.8646,24.0625,25.5,57.12691667,17.611
1433184300,2,1,5,1,25.8333,26.3021,25.6771,26.8541,24.0937,25.4375,57.42886667,17.5
1433185200,2,1,5,1,25.7292,26.2813,25.6042,26.7292,23.9479,25.2813,57.47346667,17.388
1433186100,2,1,5,1,25.7292,26.2605,25.5938,26.6563,23.625,25.2396,57.16776667,17.222
1433187000,2,1,5,1,25.6562,26.125,25.4896,26.625,23.7604,25.3438,56.79646667,17.111
1433187900,2,1,5,1,25.4896,26.0625,25.4375,26.5521,23.9479,25.3125,56.51995,16.888
1433188800,2,1,5,1,25.3958,25.875,25.1979,26.4063,23.1667,24.9479,56.6864,16.722
1433189700,2,1,5,1,25.2083,25.7708,25.125,26.2917,23,24.8333,56.68326667,16.611
1433190600,2,1,5,1,25.1979,25.6979,25.0208,26.1771,22.6042,24.6667,56.76253333,16.222
1433191500,2,1,5,1,24.9896,25.5729,24.8646,26.0313,22.5104,24.6146,56.64188333,15.722
1433192400,2,1,5,1,24.8542,25.3542,24.7708,25.9479,22.9479,24.5417,56.19205,15.611
1433193300,2,1,5,1,24.8438,25.3854,24.6979,25.8854,23.75,24.6562,55.22711667,15.722
1433194200,2,1,5,1,24.7292,25.3021,24.5104,25.7813,23.8021,24.4688,55.18146667,15.888
1433195100,2,1,5,1,24.6042,25.1667,24.3542,25.7604,23.8021,24.4063,55.2561,16
1433196000,2,1,5,1,24.9271,25.3542,24.6146,26.0729,24.0833,24.7084,53.80561667,16
1433196900,2,1,5,1,24.9375,25.4271,24.5313,26.1146,24.1562,24.9167,53.57778333,16.111
1433197800,2,1,5,1,24.9792,25.5,24.4479,26.0625,24.1354,24.9479,53.29275,16.111
1433198700,2,1,5,1,24.9271,25.4375,24.4062,25.9687,24.1146,24.8438,53.1938,15.722
1433199600,2,1,5,1,24.7708,25.3334,24.3333,25.9062,24.0104,24.8542,53.0984,15.222
1433200500,2,1,5,1,24.7917,25.2604,24.2813,25.8438,24.0209,24.7917,52.94175,14.888
1433201400,2,1,5,1,24.6979,25.1979,24.1562,25.7708,23.875,24.7188,52.9488,14.777
1433202300,2,1,5,1,24.6354,25.0938,24.0938,25.7291,23.8021,24.6354,52.64123333,14.722
1433203200,0,1,5,1,24.5834,25.0937,24.1146,25.6771,23.75,24.6667,52.55366667,14.722
1433204100,0,1,5,1,24.5,24.9688,23.9583,25.6041,23.7083,24.5208,52.38278333,14.722
1433205000,0,1,5,1,24.4479,24.9375,23.9375,25.5521,23.6146,24.5,52.24828333,14.722
1433205900,0,1,5,1,24.3646,24.8021,23.8229,25.4584,23.4271,24.5,52.17238333,14.722
1433206800,0,1,5,1,24.1146,24.6979,23.6041,25.2396,23.3021,24.0833,52.12115,14.722
1433207700,0,1,5,1,23.0521,24.1042,22.6458,24.6667,22.625,23.0937,53.78603333,14.722
1433208600,0,1,5,1,22.4688,23.625,22.0938,24.1562,22.1667,22.4792,55.00115,14.722
1433209500,0,1,5,1,22.1771,23.3646,21.7291,23.8437,21.9792,22.1875,55.84561667,14.722
1433210400,0,1,5,1,21.8854,23.1666,21.4792,23.5833,21.6771,21.9687,56.5027,14.722
1433211300,0,1,5,1,21.8021,23.0208,21.3021,23.4895,21.5416,21.8125,56.8783,14.722
1433212200,0,1,5,1,21.8229,22.9166,21.25,23.3854,21.3959,21.7396,56.8276,14.722
1433213100,0,1,5,1,22.5625,23.3334,22.25,23.9166,22.25,22.6146,54.79615,14.722
1433214000,0,1,5,1,23.0729,23.6563,22.8021,24.2083,22.7604,23.1667,53.3824,14.722
1433214900,0,1,5,1,23.3438,23.8021,22.9688,24.3229,22.9166,23.3854,52.83225,14.722
1433215800,0,1,5,1,23.4271,23.7917,23.0208,24.375,22.9271,23.4896,52.75903333,14.722
1433216700,0,1,5,1,23.4687,23.7708,23.1667,24.4479,23.1145,23.5312,52.40631667,14.722
1433217600,0,2,5,2,23.5208,23.8125,23.1771,24.3646,23.1666,23.5,52.23245,14.722
1433218500,0,2,5,2,23.4271,23.875,23.2396,24.4062,23.25,23.6042,51.98031667,14.722
1433219400,0,2,5,2,23.4479,23.8334,23.2188,24.4375,23.3333,23.6146,51.87276667,14.722
1433220300,0,2,5,2,23.5625,23.8438,23.3542,24.4792,23.4271,23.5729,51.57893333,14.722
1433221200,0,2,5,2,23.5729,23.9167,23.4375,24.4584,23.5104,23.6354,51.48911667,14.722
1433222100,0,2,5,2,23.5833,23.8854,23.5,24.5,23.5521,23.6146,51.30866667,14.722
1433223000,0,2,5,2,23.5209,23.9583,23.4791,24.5104,23.6562,23.6771,51.23815,14.722
1433223900,0,2,5,2,23.5938,23.9688,23.6042,24.5417,23.6146,23.6562,51.15951667,14.722
1433224800,0,2,5,2,23.6563,23.9479,23.5625,24.5,23.5833,23.6666,51.08783333,14.722
1433225700,0,2,5,2,23.6458,23.9062,23.6042,24.4896,23.6667,23.6667,51.04823333,14.722
1433226600,0,2,5,2,23.6875,23.9062,23.6562,24.5938,23.625,23.6667,50.8888,14.722
1433227500,0,2,5,2,23.6459,23.9687,23.625,24.5208,23.6458,23.7396,50.94078333,14.722
1433228400,0,2,5,2,23.6771,23.9896,23.6041,24.5208,23.6458,23.6979,50.84223333,14.722
1433229300,0,2,5,2,23.6354,23.9375,23.6146,24.5,23.6354,23.6459,50.87523333,14.722
1433230200,0,2,5,2,23.6563,23.9583,23.625,24.5313,23.625,23.6354,50.82828333,14.722
1433231100,0,2,5,2,23.6875,23.9167,23.6875,24.5833,23.5938,23.6458,50.62288333,14.722
1433232000,0,2,5,2,23.6354,23.9167,23.6042,24.5312,23.625,23.7396,50.58753333,14.722
1433232900,0,2,5,2,23.7396,23.8958,23.6979,24.5729,23.6666,23.6354,50.47413333,14.722
1433233800,0,2,5,2,23.6875,23.875,23.6041,24.5104,23.5834,23.6979,50.424,14.722
1433234700,0,2,5,2,23.6771,23.8958,23.5833,24.4583,23.5521,23.6562,50.35681667,14.722
1433235600,0,2,5,2,23.6771,23.875,23.6667,24.5208,23.5729,23.6146,50.3549,14.722
1433236500,0,2,5,2,23.6667,23.8438,23.6042,24.5104,23.5417,23.6458,50.10535,14.722
1433237400,0,2,5,2,23.6771,23.8542,23.625,24.5313,23.5,23.6354,49.91731667,14.722
1433238300,0,2,5,2,23.6354,23.8021,23.5625,24.5208,23.5208,23.5521,48.91383333,14.722
1433239200,0,2,5,2,23.6875,23.7708,23.5833,24.5312,23.5208,23.5625,47.71273333,12.111
1433240100,0,2,5,2,23.5625,23.8229,23.5208,24.4375,23.4375,23.5729,46.77356667,12.111
1433241000,0,2,5,2,23.5208,23.7292,23.5,24.4584,23.4688,23.5416,46.02776667,12.111
1433241900,0,2,5,2,23.5312,23.6979,23.3958,24.4479,23.4167,23.5,45.23533333,12.222
1433242800,0,2,5,2,23.4584,23.6667,23.3854,24.3854,23.3854,23.4584,44.63291667,12.277
1433243700,0,2,5,2,23.4271,23.6979,23.3958,24.3958,23.3438,23.4167,44.2347,12.5
1433244600,0,2,5,2,23.4271,23.6667,23.4375,24.2917,23.3021,23.4271,43.58445,12.722
1433245500,0,2,5,2,23.3021,23.5521,23.2292,24.1458,22.9896,23.2396,42.94168333,12.888
1433246400,1,2,5,2,23.1667,23.3541,23.0312,24.0208,22.5833,23.0209,42.64356667,13.111
1433247300,1,2,5,2,22.9166,23.125,22.8229,23.8646,22.4271,22.8229,42.94063333,13.111
1433248200,1,2,5,2,22.8229,23.0521,22.6979,23.75,22.1459,22.6667,42.8716,13.5
1433249100,1,2,5,2,22.7083,23,22.6979,23.6979,22.1563,22.5834,42.88101667,13.388
1433250000,1,2,5,2,22.7708,22.9583,22.6562,23.6875,22.2188,22.5417,42.87278333,13.388
1433250900,1,2,5,2,22.7188,22.9688,22.6666,23.5521,22.3125,22.5625,42.77806667,13.388
1433251800,1,2,5,2,22.7813,23,22.6979,23.6562,22.3542,22.5416,42.60015,13.388
1433252700,1,2,5,2,22.75,22.9375,22.6146,23.6562,22.3854,22.5833,42.59001667,13.388
1433253600,1,2,5,2,22.7188,22.9063,22.6771,23.6042,22.4375,22.6458,42.59716667,13.388
1433254500,1,2,5,2,22.7917,22.9167,22.6667,23.6041,22.4687,22.6042,42.54721667,13.5
1433255400,1,2,5,2,22.7813,22.9479,22.6562,23.6771,22.4166,22.6563,42.42265,13.5
1433256300,1,2,5,2,22.7604,22.9167,22.625,23.625,22.3854,22.5937,42.42601667,13.777
1433257200,1,2,5,2,22.75,22.8958,22.5521,23.5521,22.3333,22.5833,42.26773333,13.888
1433258100,2,2,5,2,22.6771,22.9167,22.6042,23.6041,22.4063,22.5937,42.35338333,13.777
1433259000,2,2,5,2,22.6667,22.8333,22.5312,23.5625,22.375,22.5729,42.3634,13.777
1433259900,2,2,5,2,22.625,22.8437,22.5417,23.5104,22.3854,22.5938,42.39486667,13.777
1433260800,2,2,5,2,22.6667,22.7708,22.5833,23.5312,22.3334,22.5625,42.37335,13.777
1433261700,2,2,5,2,22.6354,22.875,22.5729,23.5208,22.3333,22.4792,42.5038,13.722
1433262600,2,2,5,2,22.5729,22.8229,22.4584,23.4896,22.3229,22.4271,42.46783333,13.777
1433263500,2,2,5,2,22.6146,22.7916,22.4896,23.4792,22.25,22.4479,42.69166667,14
1433264400,2,2,5,2,22.5209,22.7708,22.4062,23.4792,22.2708,22.4375,42.57408333,14.111
1433265300,2,2,5,2,22.5625,22.7396,22.4479,23.4792,22.2708,22.3646,43.37136667,14.111
1433266200,2,2,5,2,22.5417,22.7292,22.4896,23.4792,22.2604,22.4896,43.51248333,14
1433267100,2,2,5,2,22.5834,22.7292,22.4479,23.4792,22.25,22.4479,43.53153333,14
1433268000,2,2,5,2,22.6354,22.6875,22.4583,23.4687,22.2813,22.4479,43.31528333,14.111
1433268900,2,2,5,2,22.5729,22.8021,22.4167,23.3959,22.3125,22.4688,43.66906667,14.111
1433269800,2,2,5,2,22.5,22.7604,22.4062,23.375,22.3334,22.5208,43.7623,14.222
1433270700,2,2,5,2,22.5729,22.7187,22.4167,23.4583,22.2708,22.4687,44.1022,14.111
1433271600,2,2,5,2,22.5,22.7812,22.4375,23.4375,22.3125,22.5312,44.35405,14.111
1433272500,2,2,5,2,22.5,22.7812,22.4375,23.4375,22.3125,22.5312,44.35405,14
1433273400,2,2,5,2,22.5156,22.7344,22.375,23.4062,22.3281,22.4218,44.5012,13.888
1433274300,2,2,5,2,22.5,22.6354,22.4167,23.4271,22.25,22.4167,44.645,13.777
1433275200,2,2,5,2,22.4792,22.6354,22.3854,23.4375,22.2292,22.3542,44.91766667,13.777
1433276100,2,2,5,2,22.5,22.7083,22.375,23.3854,22.2188,22.3854,44.97298333,13.777
1433277000,2,2,5,2,22.5105,22.7187,22.3958,23.3854,22.1771,22.4167,45.0511,13.888
1433277900,2,2,5,2,22.4688,22.6771,22.3959,23.3854,22.1562,22.4271,45.15401667,13.888
1433278800,2,2,5,2,22.4792,22.6562,22.375,23.3334,22.1563,22.3646,45.34461667,13.888
1433279700,2,2,5,2,22.5104,22.5937,22.3437,23.3854,22.1979,22.4375,45.14041667,14.222
1433280600,2,2,5,2,22.5208,22.6146,22.3437,23.3333,22.0729,22.3229,45.23228333,14.722
1433281500,2,2,5,2,22.4583,22.5938,22.3437,23.3333,22.0208,22.2709,45.31063333,14.777
1433282400,2,2,5,2,22.375,22.6145,22.3021,23.3646,21.9687,22.2395,45.4146,14.777
1433283300,2,2,5,2,22.4479,22.5625,22.2708,23.2396,21.9271,22.2083,45.61658333,14.611
1433284200,2,2,5,2,22.2812,22.5104,22.2083,23.2187,21.8125,22.1666,45.58838333,14.5
1433285100,2,2,5,2,22.2292,22.4896,22.2083,23.1458,21.8125,22.1042,45.64663333,13.888
1433286000,2,2,5,2,22.2188,22.4583,22.1042,23.0729,21.7917,21.9896,45.74375,13.388
1433286900,2,2,5,2,22.1458,22.375,22.0729,23.0729,21.6458,21.9583,45.7931,13.277
1433287800,2,2,5,2,22.1042,22.375,22.0104,22.9583,21.6042,21.8958,46.00453333,13.222
1433288700,2,2,5,2,21.9896,22.2917,21.9896,22.9688,21.6041,21.8646,46.06551667,13.222
1433289600,0,2,5,2,21.9895,22.1667,21.9583,22.8958,21.5313,21.8333,46.15096667,13.222
1433290500,0,2,5,2,21.9271,22.1771,21.8958,22.8438,21.5104,21.7812,46.05733333,13.222
1433291400,0,2,5,2,21.9062,22.1458,21.8333,22.7917,21.5,21.7084,46.03255,13.222
1433292300,0,2,5,2,21.8542,22.0729,21.7917,22.7917,21.4375,21.6562,46.03295,13.222
1433293200,0,2,5,2,21.8229,22.0417,21.7708,22.7187,21.3437,21.6563,46.29196667,13.222
1433294100,0,2,5,2,21.6458,21.875,21.5417,22.5938,21.1354,21.4688,47.40448333,13.222
1433295000,0,2,5,2,21.4583,21.7292,21.3541,22.3854,20.8854,21.25,48.76991667,13.222
1433295900,0,2,5,2,21.2917,21.5938,21.1979,22.3125,20.7396,21.1042,49.76285,13.222
1433296800,0,2,5,2,21.2083,21.4896,21.0833,22.2187,20.6771,21,50.7333,13.222
1433297700,0,2,5,2,21.0729,21.4063,20.9584,22.1563,20.5208,20.8958,51.4815,13.222
1433298600,0,2,5,2,21.0521,21.3333,20.9166,22.0104,20.4583,20.8125,51.51628333,13.222
1433299500,0,2,5,2,21.125,21.4896,21.1041,22.1458,20.7292,20.9687,50.93195,13.222
1433300400,0,2,5,2,21.3021,21.6146,21.2917,22.3542,20.9896,21.1771,50.17873333,13.222
1433301300,0,2,5,2,21.3854,21.6042,21.3437,22.3229,21.125,21.3646,50.02951667,13.222
1433302200,0,2,5,2,21.4375,21.6771,21.4167,22.3646,21.1458,21.3854,49.96208333,13.222
1433303100,0,2,5,2,21.4271,21.6771,21.4271,22.3437,21.0938,21.3854,49.61168333,13.222
1433304000,0,3,5,3,21.4792,21.6563,21.4479,22.3542,21.1979,21.3229,49.38273333,13.222
1433304900,0,3,5,3,21.5208,21.6771,21.3959,22.3021,21.2188,21.4063,49.4281,13.222
1433305800,0,3,5,3,21.4792,21.7188,21.3854,22.3229,21.1979,21.4375,49.32538333,13.222
1433306700,0,3,5,3,21.4896,21.7292,21.4167,22.3646,21.2292,21.4375,49.06421667,13.222
1433307600,0,3,5,3,21.5,21.6979,21.4063,22.3854,21.2188,21.4479,48.96878333,13.222
1433308500,0,3,5,3,21.5417,21.6771,21.4583,22.4375,21.2709,21.4896,48.78225,13.222
1433309400,0,3,5,3,21.5416,21.6979,21.4687,22.4062,21.2708,21.4791,48.77623333,13.222
